City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,12.81,58,40,4.12,AR,1736029753
1,grytviken,-54.2811,-36.5092,4.23,67,15,5.79,GS,1736029754
2,talodi,10.6325,30.3797,26.06,22,27,2.55,SD,1736029755
3,port-aux-francais,-49.35,70.2167,5.8,82,73,11.92,TF,1736029757
4,novyy urgal,51.0736,132.5642,-36.78,99,100,0.7,RU,1736029758
5,coracora,-15.0333,-73.7833,13.54,76,97,3.71,PE,1736029759
6,kalmunai,7.4167,81.8167,23.2,77,92,3.35,LK,1736029761
7,yelizovo,53.1873,158.3805,2.08,60,75,3.0,RU,1736029762
8,punta arenas,-53.15,-70.9167,16.06,48,40,8.23,CL,1736029763
9,strezhevoy,60.7333,77.5889,-22.13,100,85,2.09,RU,1736029765
10,imbituba,-28.24,-48.6703,20.78,76,6,2.06,BR,1736029766
11,bikenibeu village,1.3673,173.1241,28.98,74,20,3.09,KI,1736029769
12,kzyltu,53.6364,72.3414,-8.71,93,97,3.21,KZ,1736029770
13,kombissiri,12.0656,-1.3375,22.93,21,10,2.95,BF,1736029772
14,kingston,17.997,-76.7936,28.53,65,20,2.57,JM,1736029775
15,invercargill,-46.4,168.35,14.45,63,27,1.79,NZ,1736029776
16,olonkinbyen,70.9221,-8.7187,-7.28,74,100,12.27,SJ,1736029777
17,bolszewo,54.618,18.1759,-1.24,87,96,3.13,PL,1736029779
18,adamstown,-25.066,-130.1015,24.1,70,2,3.1,PN,1736029780
19,enewetak,11.3474,162.3373,27.54,78,100,8.19,MH,1736029781
20,daru,-9.0763,143.2092,24.97,92,100,3.94,PG,1736029783
21,umm kaddadah,13.6017,26.6876,20.47,15,33,3.67,SD,1736029784
